阶段 0，第 1 章：宇宙

---

1.1 第一缕光
B 约占宇宙的一半。
C 仅占宇宙的约百分之五。
D 是一个单一超星系团的一部分。
A3: C

---

1.4 弯曲时间的速度

光是宇宙所允许的最快速度。自然界中没有什么能超过它，任何物体越接近这个速度极限，时间本身就会开始为运动的物体而减缓。想象一艘宇宙飞船从地球加速向外飞行，以接近光速的速度巡航多年，然后掉头飞回家。飞船上的宇航员走下舱门时，只会经历了少许老化，而她离开的那个星球却已经过去了多得多的年头——这不是感知上的幻觉，而是可以用并排放在一起的两个时钟直接测量的事实。引力对时间也有类似的作用。一位在地球大气层之外的空间站上绕轨道飞行的宇航员返回后，比留在地面上的同伴年轻几千分之一秒，因为她一直在更快地运动，并且离地球的引力更远。这个微小的差距听起来像是个奇闻，直到你想起头顶上运行的导航卫星：它们上面的时钟与地面上的时钟以略有不同的速率滴答作响，如果工程师们不每秒钟都对此进行补偿，那么从这些卫星发射下来的定位信号一天之内就会偏离数公里之远。爱因斯坦在这一切能够被测量的一百年前就预见到了，而每一个旨在反驳他的实验，反而都只是证实了他。

Q1: 自然界中没有什么能超过
A 真空中的声速。
B 光在真空中的速度。
C 银河系的自转速度。
D 黑洞的引力。
A1: B

Q2: 在以接近光速巡航的宇宙飞船中的旅行者
A 比家乡的人们老化得快得多。
B 与家乡的人们以相同的速度老化。
C 返回时会比她离开的那个星球老化得更少。
D 体验的时间与其他所有人完全相同。
A2: C

Q3: 当爱因斯坦提出相对论时，他的职业是
A 普林斯顿大学的理论物理学教授。
B 伦敦皇家学会的研究员。
C 伯尔尼瑞士专利局的一名职员。
D 奥地利乡村学校的一名教师。
A3: C

---

1.5 太阳的心炉

温暖你脸庞的阳光，比人类文明本身还要古老。在太阳的深处，温度上升到数百万度，氢原子被挤压得足够紧而融合成氦，一个崭新的光子在纯粹能量的闪现中诞生。但是，太阳核心中的等离子体非常致密，新的光子无法直接向外传播；相反，它会向各个方向与邻近的粒子反复碰撞，从核心到太阳表面的旅程平均需要大约十万年。一旦那个光子最终挣脱表面，进入太空的真空，到达地球的旅程只需要另外八分钟。太阳通过将自身的质量转化为纯粹的辐射来维持这个熔炉，每时每刻都在进行，即使以如此巨大的速率，其储备中仍然潜伏的氢也足以再持续数十亿年。但是，我们这颗最近的恒星并不是一个温和的邻居。太阳时不时地向我们的星球直接释放出一场巨大的带电粒子风暴，当这些太阳风暴中的一场遇到地球的磁场时，磁场会在极地半球振荡和波动。在平静的日子里，这种碰撞仅仅用闪烁的极光照亮极地的天空；在剧烈爆发时，同一场风暴会瘫痪轨道上的卫星，干扰导航信号，并提醒我们，天空中平静的黄色圆盘根本不是一个炉膛，而是一场持续的、受控的爆炸，凭借自身巨大的引力，已经持续了数十亿年。

Q1: 一个在太阳核心诞生的光子
A 几乎瞬间到达地球。
B 需要大约十万年散射到表面，然后再用八分钟到达地球。
C 从中心以光速直线向外传播。
D 永远无法逃逸；只有表面的光子才能到达地球。
A1: B

Q2: 太阳时不时地会释放出
A 一股微小的灰烬微粒。
B 一场巨大的带电粒子风暴，袭击地球的磁场。
C 一股使地球温度下降的冷却脉冲。
D 一股稳定但看不见的中微子流。
A2: B

Q3: 极地天空中闪烁的极光是由
A 密集风暴云中的静电产生的。
B 来自太阳风暴的带电粒子与高层大气碰撞产生的。
C 月光在冰晶上反射产生的。
D 穿过磁场的微弱宇宙射线产生的。
A3: B

---

1.6 世界之间的摇篮

地球，在其存在的头几个小时里，差点经历了一场它可能永远无法从中恢复的灾难。一颗火星大小的流浪行星——天文学家根据残骸回溯将其命名为忒伊亚——以一个倾斜的角度撞击了炽热的年轻地球，蒸发了大部分地壳，并将一团发光的碎石云散布到轨道上。从那场废墟中诞生了一份礼物：那团云在数千年间，在自身引力下逐渐凝聚，并凝结成了月球。当月球的年轻的时期，它距离地球如此之近，几乎占据了半边天空，它的引力在下方仍在沸腾的海洋中引发了巨大的潮汐。一天开始和结束仅在几个小时之内，因为地球当时自转的速度此后从未再达到过。然后，经过数亿年，月球向外退去，地球自转减慢，直到现在，同一个月球成为了耐心的锚，将地球的地轴固定在产生四季的适度倾角上。没有这种对地轴的温柔约束，气候每隔几千年就会在整个星球上剧烈波动，我们所知的生命可能永远不会出现。月球甚至不是我们唯一的安静守护者。偏转太阳射出的致命辐射的磁场并不是一个固定的堡垒：每隔几十万年，这个磁场就会减弱、动摇并完全逆转，以至于磁北极悄悄地迁移到南半球，而南极则上升到北方，让整个地球上的每一个指南针在一个整个纪元中都指向错误的方向。

Q1: 月球是由以下哪项形成的？
A 地球的外壳因早期自转而分裂出去。
B 一颗火星大小的原行星与年轻地球发生倾斜碰撞，喷射出的碎片在轨道上凝聚。
C 一颗路过的小行星被地球引力捕获。
D 行星逐渐从原始的尘埃云中凝聚而成。
A1: B

Q2: 地球的地轴倾角在整个地质年代中保持稳定，归功于
A 太阳的引力。
B 月球耐心的引力拖拽。
C 木星的轨道清扫了内太阳系。
D 地核产生磁场。
A2: B

Q3: 地球的磁场
A 自行星形成以来一直保持不变。
B 每隔几十万年就会完全反转，南北极互换。
C 仅在二叠纪灭绝期间反转了一次。
D 仅在重大小行星撞击后才会反转。
A3: B

---

1.7 大寂静

到目前为止，我们已经用日益灵敏的望远镜在绕遥远恒星运行的轨道上编目了数千颗行星。其中有几颗构成了大致的地球模拟星，它们恰好位于与其母星适当的距离区间内，使得液态水能够在表面积聚——这正是最初产生我们的同样配方。与此同时，巨大的射电天线持续扫描着天空，倾听是否有其他文明可能已经穿过星际黑暗发出的任何信号。年复一年，十年复十年，什么都没有出现。最让人困惑的正是这片寂静。宇宙已经存在了如此之久，包含了如此之多的恒星和行星，银河系按理说应该挤满了邻居，有比我们古老得多、聪明得多的文明，它们自由地广播，甚至可能穿越星际空间来建立联系。然而，没有一个信号，一艘飞船，或另一个智慧生命确凿无疑的痕迹，在任何望远镜中显现过。物理学家恩里科·费米用五个简单的词表达了这一悖论：大家都在哪儿呢？没有人喜欢的候选答案是这样的。也许每一个文明在学会星际通讯之前就把自己吞噬掉了。也许外面的更古老文明刻意向像我们这样的初学者隐藏自己。或者，最令人不安的是，也许我们真的是宇宙中第一个出现的文明，唯一在广播的文明，持续地朝着寂静呼喊，而寂静中却没有任何人在那一边回应我们。

Q1: 费米悖论指出
A 宇宙太小，无法容纳任何其他文明。
B 鉴于宇宙的年龄和大小，银河系应该充满喧闹的邻居，然而却没有出现任何清晰的信号。
C 只有地球具备任何生命存在的必要条件。
D 外星文明公开与地球联系。
A1: B

Q2: 在全球各地，巨大的射电天线
A 持续向宇宙广播地球的位置。
B 扫描天空，聆听来自其他文明的任何信号。
C 专门针对火星。
D 已从天文用途中退役。
A2: B

Q3: 天文学家迄今发现的外行星
A 都是不适居的气态巨行星。
B 包括几颗大致地球大小、位于适宜液态水存在的轨道范围内的世界。
C 只环绕着类似太阳的单颗恒星运行。
D 都位于我们自己的太阳系内。
A3: B

---

（本章词汇总结部分跳过）

阶段 0，第 2 章：地球历史

---

2.1 大窒息

早期地球并没有真正意义上的表面。在由蒸汽和腐蚀性气体构成的翻腾大气层之下，地壳是一片湍动的岩浆海洋，经过数亿年才冷却到足以让固体岩石形成。一旦表面最终硬化，上方厚重的云层释放出一场持续降雨——据某些估计，这场雨比整个有记录的人类历史还要长——随着降水在地球上每一个低洼盆地中积聚，形成了最初的真正海洋。在这些海洋深处，热液喷口沿着地壳中的火山缝隙出现，喷出富含矿物质和化学能的滚烫海水，在这些喷口周围的湍流中，第一批能够自我复制的有机分子逐渐凝聚成我们同意称之为生命的东西。在此后大约二十亿年间，生命作为一种微生物薄膜持续存在，消耗溶解的碳，并像任何节俭的生物一样排泄废物。然后，一种特别的蓝细菌学会了直接利用阳光，而其新代谢的副产品碰巧就是氧气。释放出的氧气无情地积聚在海水中，然后进入大气层，这里出现了没有人警告过你的转折：氧气——你每一次呼吸都依赖的分子——对在没有氧气的环境中繁盛起来的古老生命来说，是剧毒的。整个厌氧微生物种群被它们远房表亲的呼出物彻底消灭了。这次大氧化事件构成了地球所经历过的第一次大规模灭绝，它清理了舞台，为最终将居住在上方世界的每一个复杂生物铺平了道路。

Q1: 地球上最初的真正海洋是由以下哪项形成的？
A 小行星撞击从外太空带来了冰冻的水。
B 云层释放了一场持续数个世纪的大雨，积聚在每一个低洼盆地中。
C 全球冰河时代结束时，极地冰盖融化。
D 地壳开裂后，地下河流涌出地表。
A1: B

Q2: 第一批可复制的有机分子是在哪里凝聚的？
A 赤道附近的浅水池中。
B 深海热液喷口周围的化学湍流中。
C 落在早期地表的陨石内部。
D 原始大气层的高处。
A2: B

Q3: 地球上的第一次大规模灭绝是由以下哪项引起的？
A 一颗小行星撞击早期的太平洋。
B 蓝细菌释放氧气，毒死了更古老的厌氧微生物。
C 全球冰河时代的突然来临。
D 一系列超级火山喷发。
A3: B

---

2.2 寒武纪火花

然后，地球冻住了。出于气候学家仍在争论的原因，大气层冷却得如此剧烈，以至于冰从两极一直推进到赤道，整个行星表面，包括海洋在内，都被数公里厚的冰冻地壳所覆盖。生命得以延续，但仅局限于海底热液喷口附近的狭窄区域，那里的热量仍在从下方逸出。至关重要的是，火山本身从未停止喷发：在数百万年间，它们持续向被封锁的大气层中排放二氧化碳，一旦足够多的这种温室气体积累起来，冰就退却了，阳光再次抵达海洋，生命迎来了其整个历史上最壮观的机会。我们现在称之为寒武纪大爆发的事件，几乎同时在地球的每一个海洋盆地开始。形态如此奇异、近乎想象中的动物突然出现在化石记录中：具有分节复眼的捕食者奇虾，由互锁甲壳覆盖的三叶虫，以及一种名为皮卡虫的小型带状生物，它在当时看起来毫不起眼。然而，隐藏在皮卡虫细长身体内的是一根被称为脊索的细长内杆，这一项单一的解剖创新，最终将构成每一条鱼、每一只爬行动物、每一只鸟、每一只哺乳动物，以及，经过八亿年的耐心，你的脊椎。这就是身为人类奇怪的安慰：将自己的血统追溯得足够远，你就会来到一条如此不起眼的蠕虫面前，以至于它那个时代的巨人们几乎没有注意到它。

Q1: 在雪球地球时期，生命在哪里得以延续？
A 仅在赤道附近的浅水池中。
B 在海底热液喷口附近的狭窄区域。
C 在冰层本身的表面上。
D 在陨石冰沉积物内部。
A1: B

Q2: 当什么发生时，触发了寒武纪奇异新生命形式的爆发？
A 一颗彗星向海洋输送了新的遗传物质。
B 大陆漂移将海洋分隔成孤立的盆地。
C 火山释放的二氧化碳使地球解冻，阳光再次抵达海洋。
D 地球磁场发生反转。
A2: C

Q3: 小型带状生物皮卡虫在生物学上很重要，因为
A 它在化石记录中产生了第一个硬壳。
B 它细长的身体内含有脊索，这是后来所有脊椎动物的脊髓前体。
C 它是寒武纪最大的捕食者。
D 它在水下发明了光合作用。
A3: B

---

2.3 离开水域

在生命首次出现后的二十多亿年里，每一种生物都呆在水中。上面的陆地是一片贫瘠的旷野，被紫外线辐射炙烤着，缺乏脊椎动物生存所需的有机物质。植物首先登上了岸边，缓慢地、笨拙地，就像在敌对的度假胜地的勉强的游客，但它们的光合作用稳定地产生了可供呼吸的氧气，并逐渐将裸露的岩石变成了我们现在习以为常的肥沃土壤。然后，一种特别的、被称为提塔利克鱼的肉鳍鱼，在加拿大北极地区的泥盆纪沉积物中被发现，它展现出世界上从未见过的东西：真正的手腕，带有完整的、可以弯曲并承受重量的骨骼。提塔利克鱼几乎肯定利用那些原始的四肢爬过潮汐泥滩，并从富含氧气的浅水中伏击猎物。它的后代，以只有进化才能展现的那种耐心，用肺取代了鳃，将手腕完善成有关节的脚，并最终构成了第一批居住在干燥土地上的两栖动物和爬行动物。从最重的大象到最小的田鼠，每一种曾经行走、跳跃、飞翔或挖掘的四足动物，都将其血统追溯到泥滩上的那个单一祖先。那个时代的大气层富含氧气，没有捕食者能抓到它们，蜻蜓长到了会让当代观鸟者感到恐惧的尺寸。它们的翼展达到了现代猛禽的大小。想象一下，你挥手拍打一只昆虫，却发现它和老鹰一样大。那在石炭纪的沼泽里，只是一个普通的下午。

Q1: 提塔利克鱼展现出世界上从未见过的东西，即
A 足以呼吸空气的强大鳃。
B 能够弯曲并在陆地上承受重量的真正腕骨。
C 从出生起就完全发育的四条腿。
D 在泥滩之间滑翔的能力。
A1: B

Q2: 从大象到老鼠，每一种现代四足动物都起源于
A 寒武纪早期的水母状游泳生物。
B 一种爬上岸边的泥滩的肉鳍鱼。
C 从海浪中直接走上干燥陆地的两栖动物。
D 泥盆纪的早期节肢动物。
A2: B

Q3: 石炭纪的蜻蜓长到现代猛禽的大小是因为
A 随着气候变冷，它们的新陈代谢大大减慢。
B 大气层异常稀薄和寒冷。
C 大气层富含氧气，并且没有捕食者能抓到它们。
D 它们以小型哺乳动物为食。
A3: C

---

2.4 盘古大陆与大死亡

在生命遍布各大洲很久之后，大陆本身慢慢地漂移到了一起。两亿五千万年前，地球上的每一块陆地都汇聚成一个巨大的单一超大陆，地质学家现在称之为盘古大陆，周围环绕着一个几乎大到难以理解的单一海洋。海岸线突然被压缩成一个连续的环，急剧减少，而盘古大陆广阔的内陆，远离任何可能调节其气候的海风，退化为燃烧的沙漠。然后，灾难开始了。在今天西伯利亚所在的地方，地壳中出现了裂缝，并持续了近一百万年，喷出的熔岩覆盖了比现代欧洲还大的区域，并向大气中排放了地球上前所未有规模的火山气体。二氧化硫污染了空气。超大陆侵蚀的地形将裸露的沉积岩层暴露在无情的酸雨之下，而在最深的海洋深渊中，海水本身的化学性质转向了灾难性的酸性。海洋吸收了如此多的二氧化碳，以至于它们变酸了，其中曾经含有的溶解氧几乎减少到零，这进一步加剧了每一个挣扎着呼吸的海洋生物的苦难。其结果就是二叠纪大灭绝，这是地球所经历过的最具破坏性的死亡事件。地球上大约百分之九十六的海洋物种被消灭，连同大多数陆地脊椎动物和繁盛了数千万年的大片森林。生命作为一个整体，比其历史上任何其他时刻都更接近于完全消失。少数设法经受住了这场灾难的物种，获得了一个几乎被完全清理干净的舞台，而从那些幸存的小小残余中，地球的整个下一章将不得不被即兴创造出来。

Q1: 在其形成的高峰期，盘古大陆
A 已经完全融化了其极地冰盖。
B 将地球上的每一块陆地都合并成了一个巨大的单一超大陆。
C 只包含非洲和南美洲大陆。
D 已被一次早期小行星撞击分裂。
A1: B

Q2: 二叠纪大灭绝是地球历史上最具灾难性的死亡事件，因为它
A 消灭了大约一半的陆地物种。
B 消灭了大约百分之九十六的海洋物种。
C 只消灭了恐龙。
D 发生在一个日历年之内。
A2: B

Q3: 二叠纪大灭绝的驱动因素是
A 一次发生在现代墨西哥的巨大小行星撞击。
B 西伯利亚长期的火山喷发，同时毒害了空气和海洋。
C 一次冻结海洋的突然全球冰河时代。
D 第一批陆地植物的出现。
A3: B

---

2.5 巨人的崛起

幸存者们登上了空旷的舞台，并且毫不为自己活着而道歉。一种特定的爬行动物谱系，起初体型不大，在接下来的三千万年里进化成了地球上产生过的最成功的四足动物。这些就是恐龙，它们如此迅速地占据了每一个可以想象的生态位，以至于没有竞争对手的脊椎动物能够取代它们。巨大的捕食者登上了陆地食物链的顶端。长颈的蜥脚类恐龙一个下午就能吃掉整片森林的树冠。翼龙——严格来说不是恐龙，但它们是近亲——展开了巨大的革质翅膀，在天空巡逻。蛇颈龙占据了海洋，由桨状四肢推动，能够捕捉到大多数其他爬行动物无法忍受的深度处的鱼类。在一亿六千五百万年间——大约比人类文明迄今为止持续的时间长四百倍——恐龙就这样一直占据着主导地位。而在它们占据主导地位的同时，一个同等重要的事件正在它们脚下展开。盘古大陆开始分裂。超大陆分裂了，又再次分裂，由此产生的板块以慢动作漂移开来，每一个板块都携带着自己独特的恐龙群落、自己的植物，以及自己逐渐分化的气候，进入隔离状态。这就是每个现代大陆最终拥有如此迥异的本土动物群的原因：不是偶然，而是通过板块向相反方向缓慢分离的机制，像巨大的、从未有人故意放下的木筏一样，将正在进化的谱系运载过地球表面。

Q1: 二叠纪大灭绝之后，填补了所有陆地生态位的幸存者是
A 早期哺乳动物。
B 第一批鸟类。
C 一种特定的爬行动物谱系，进化成了恐龙。
D 巨型两栖动物。
A1: C

Q2: 长颈的蜥脚类恐龙以其以下特点而著称
A 在树间短距离飞行。
B 一个下午就能吃掉整片森林的树冠。
C 在水下产卵。
D 是夜间捕猎的温血捕食者。
A2: B

Q3: 每个现代大陆都支持着独特的本土动物群，这是因为
A 人类故意将不同的物种引入各个大陆。
B 盘古大陆逐渐分裂，每个板块携带着自己独特的动物群进入隔离状态。
C 每个大陆的气候从一开始就完全不同。
D 相同的物种在每个地点独立进化。
A3: B

---

2.6 小行星

六千六百万年前，一块直径约十公里的石头——一个在太阳系内层轨道运行的、未获邀请的碎片——以每秒二十公里的速度穿过地球大气层加速下降，并撞击了现在尤卡坦半岛的浅海海岸。这次碰撞产生的爆炸能量大约是人类建造的所有核武器总和的十亿倍。撞击将一团炽热的岩石碎片抛射到高层大气，在那里它们上升到轨道轨迹，然后作为一场全球性的炽热玻璃冰雹降落在每一个大陆上。海啸从撞击点向各个方向扩散，巨大的水墙侵蚀了每一个海洋的每一处海岸线。随后的数年里，尘埃笼罩了世界，如此持续地遮蔽了太阳，以至于地球表面的光合作用几乎停止了。植物枯萎。食草动物饿死。以那些食草动物为食的捕食者也随之饿死。在整个中生代维持下来的复杂食物链，在地质学家所说的"一瞬间"内崩溃了。地球上大约四分之三的物种被消灭，包括所有比鸡大的恐龙。但是，一些小型哺乳动物一直安静地居住在地下洞穴中，依靠储存的脂肪度过最糟糕的尘埃冬季，它们的谱系延续了下来。在它们之上，在恐龙统治了一亿六千五百万年的地方，地表几乎完全被清理干净，一个等待着任何敢于宣称拥有它的遗产。哺乳动物即将敢于去宣称。

Q1: 六千六百万年前，一颗直径约十公里的小行星撞击了
A 北大西洋深海。
B 现在尤卡坦半岛的浅海海岸。
C 非洲大陆的中心。
D 南极的极地冰盖。
A1: B

Q2: 撞击发生后的数年里，阳光未能到达地球表面，是因为
A 同时发生的火山喷发产生的火山灰阻挡了大气层。
B 撞击抛射到高层大气的尘埃遮蔽了太阳。
C 行星的轨道短暂地向外移动了。
D 磁场 collapse 并使地球暴露在辐射中。
A2: B

Q3: 幸存下来并继承了被清理的地表的生物是
A 能够躲在洞穴中的最大的恐龙。
B 依靠储存的脂肪在洞穴中冬眠的小型哺乳动物。
C 深海中的海洋爬行动物。
D 遍及各大洲的巨型飞行的翼龙。
A3: B

---

2.7 一棵树如何造就了你

巨人消失后，地球就属于哺乳动物了。在接下来的六千万年里，它们积累了我们如今完全习以为常的生存特征：用于调节体温的浓密毛发，用于精心养育后代的胎生和乳汁，以及使它们能够在此前消灭了其竞争对手的气候条件下保持活跃的温血新陈代谢。它们分化成所有海洋表面下的鲸鱼，分化成在每一个夜空展开革质翅膀的蝙蝠，分化成耐心地在土壤中扩散的鼹鼠。这些哺乳动物中一个特别不起眼的分支爬上了热带森林的树冠，构成了第一批灵长类动物。树枝间的生活要求精确：要不错过地从一个树枝跃到下一个，大脑必须准确地感知深度，手指必须以精确校准的力度抓握，以适应每一次精细的着陆。因此，立体视觉和对生拇指在数百万年间一同出现，这是由树木本身的几何形态强加于该谱系的一种适应。然后，气候变冷了。非洲的森林减少了，一个特定的灵长类谱系被迫下降到开阔的热带稀树草原，在那里，它们没有像所有其他幸存的哺乳动物那样四肢着地爬行，而是开始用两条腿直立行走。解放出来的前肢开始积累石块，操纵棍棒，点燃了第一堆火，并点燃了工具漫长的精炼过程。所有这些操控所需的大脑也随之扩大。肉类消费增加。工具成倍增加。而从一个日渐减少的非洲南方古猿种群中，最终出现了一个能够读懂像这样句子并在其中认出自己的物种。

Q1: 树枝间的生活要求
A 异常强壮的用于攀爬的腿部肌肉。
B 立体视觉深度和校准用于精细抓握的手指。
C 用于在树间短距离飞行的羽毛翅膀。
D 用于在树冠温度中生存的厚毛皮。
A1: B

Q2: 一个特定的灵长类谱系从树上下到热带稀树草原，是因为
A 树上的捕食者变得太危险了。
B 气候变冷，森林缩小，开阔的草原提供了新的资源。
C 树上的食物完全耗尽了。
D 竞争的猿类物种把它们赶了下来。
A2: B

Q3: 用两条腿直立行走最终使早期人类能够
A 比任何其他哺乳动物跑得更快。
B 解放双手去捡拾石头、操纵棍棒、点燃火堆和精炼工具。
C 在没有水的情况下生存更长时间。
D 超过幸存的猿类物种。
A3: B

---

（本章词汇总结部分跳过）

阶段 0，第 3 章：非洲

---

3.1 漂走的大岛

一块今日非洲的碎片在八千八百万年前从母大陆断裂开来，漂过印度洋，直到它定居在我们现在称为马达加斯加的位置。在接下来的八十万个世纪里，这块碎片与所有其他陆地保持隔离，在这漫长的孤独中，栖息其上的物种沿着它们自己独特的轨迹自由进化。由于没有任何大型捕食者曾成功定居该岛，早期留在那里的灵长类动物得以自由地多样化，成为狐猴——它们眼睛大而明亮，色彩鲜艳，其谱系早在任何大陆开始漂移之前就与产生猴子和猿类的谱系分道扬镳了。变色龙学会了独立旋转每只眼睛，并伸出一条长度是其身体两倍的粘性舌头。猴面包树只是将其树干膨大成活的储水罐，能够积累足够的水分来度过整个旱季。八千八百万年的地质隔离产生了一个缩影的大陆，居住着无法在任何其他地方出现的生物。

Q1: 马达加斯加那种将树干膨大成储水罐的树是
A 金合欢树。
B 桃花心木。
C 猴面包树。
D 桉树。
A1: C

Q2: 狐猴在马达加斯加自由地多样化，是因为
A 该岛太冷，猴子无法生存。
B 从未有大型捕食者成功定居该岛。
C 来自大陆的灵长类动物拒绝游过来。
D 变色龙击败了每一个竞争物种。
A2: B

Q3: 变色龙。
A 一种生活在雨林树冠中的灵长类动物。
B 一种能独立旋转每只眼睛的爬行动物。
C 一种在旱季冬眠的小型哺乳动物。
D 一种变色以吸引配偶的两栖动物。
A3: B

---

3.2 灰烬中的骸骨

一千五百万年前，非洲本身开始撕裂。一条被称为东非大裂谷的巨大裂缝在地壳中张开，并持续扩大至今，沿着一条横贯数个现代国家的断层线将大陆分割开来。随着每次连续喷发的火山灰沉降到大裂谷上，它掩埋了当时地面上的一切，在压缩的沉积岩一层又一层矿化的层位中保存了骨骼。1974年，古人类学家在埃塞俄比亚阿法尔地区挖掘这样一个灰烬层时，提取出了一具小型女性的部分骨骼，她能用两条腿直立行走，但她弯曲的手指骨表明她仍然在夜间爬树。他们给她起名叫露西。她是一种南方古猿，一种早期人类，其解剖结构证明，双足行走在我们的祖先谱系中发展起来的时间远早于大脑的任何显著扩张。每一个现代人类，从因纽特猎人到东京银行家，最终都可以通过这位灰烬中的小女子追溯其血统。

Q1: 东非仍在被什么东西撕裂？
A 与阿拉伯板块的碰撞。
B 索马里海岸外的一条深海海沟。
C 东非大裂谷，地壳中的一条裂缝。
D 埃塞俄比亚高地的缓慢侵蚀。
A1: C

Q2: 当古人类学家从阿法尔灰烬层中挖掘出露西时，他们发现了
A 一块单一的下颌骨化石。
B 一具小型女性的部分骨骼。
C 一具完整的防腐尸体。
